Year,First.name,Surname,Playing.for
2020,David,Astbury,Richmond
2020,Liam,Baker,Richmond
2020,Shai,Bolton,Richmond
2020,Nathan,Broad,Richmond
2020,Josh,Caddy,Richmond
2020,Jason,Castagna,Richmond
2020,Trent,Cotchin,Richmond
2020,Shane,Edwards,Richmond
2020,Brandon,Ellis,Richmond
2020,Dylan,Grimes,Richmond
2020,Bachar,Houli,Richmond
2020,Kane,Lambert,Richmond
2020,Tom,Lynch,Richmond
2020,Dustin,Martin,Richmond
2020,Toby,Nankervis,Richmond
2020,Marlion,Pickett,Richmond
2020,Dion,Prestia,Richmond
2020,Jack,Riewoldt,Richmond
2020,Daniel,Rioli,Richmond
2020,Jayden,Short,Richmond
2020,Ivan,Soldo,Richmond
2020,Nick,Vlastuin,Richmond
2019,Tom,Barrass,West Coast
2019,Tom,Cole,West Coast
2019,Jamie,Cripps,West Coast
2019,Jack,Darling,West Coast
2019,Liam,Duggan,West Coast
2019,Shannon,Hurn,West Coast
2019,Mark,Hutchings,West Coast
2019,Lewis,Jetta,West Coast
2019,Josh,Kennedy,West Coast
2019,Mark,LeCras,West Coast
2019,Scott,Lycett,West Coast
2019,Chris,Masten,West Coast
2019,Jeremy,McGovern,West Coast
2019,Jack,Redden,West Coast
2019,Willie,Rioli,West Coast
2019,Liam,Ryan,West Coast
2019,Will,Schofield,West Coast
2019,Dom,Sheed,West Coast
2019,Luke,Shuey,West Coast
2019,Nathan,Vardy,West Coast
2019,Daniel,Venables,West Coast
2019,Elliot,Yeo,West Coast
2018,David,Astbury,Richmond
2018,Nathan,Broad,Richmond
2018,Dan,Butler,Richmond
2018,Josh,Caddy,Richmond
2018,Jason,Castagna,Richmond
2018,Trent,Cotchin,Richmond
2018,Shane,Edwards,Richmond
2018,Brandon,Ellis,Richmond
2018,Jack,Graham,Richmond
2018,Shaun,Grigg,Richmond
2018,Dylan,Grimes,Richmond
2018,Bachar,Houli,Richmond
2018,Kane,Lambert,Richmond
2018,Dustin,Martin,Richmond
2018,Kamdyn,McIntosh,Richmond
2018,Toby,Nankervis,Richmond
2018,Dion,Prestia,Richmond
2018,Alex,Rance,Richmond
2018,Jack,Riewoldt,Richmond
2018,Daniel,Rioli,Richmond
2018,Jacob,Townsend,Richmond
2018,Nick,Vlastuin,Richmond
2017,Shane,Biggs,Western Bulldogs
2017,Marcus,Bontempelli,Western Bulldogs
2017,Matthew,Boyd,Western Bulldogs
2017,Tom,Boyd,Western Bulldogs
2017,Zaine,Cordy,Western Bulldogs
2017,Luke,Dahlhaus,Western Bulldogs
2017,Caleb,Daniel,Western Bulldogs
2017,Tory,Dickson,Western Bulldogs
2017,Josh,Dunkley,Western Bulldogs
2017,Joel,Hamling,Western Bulldogs
2017,Lachie,Hunter,Western Bulldogs
2017,Jason,Johannisen,Western Bulldogs
2017,Tom,Liberatore,Western Bulldogs
2017,Jack,Macrae,Western Bulldogs
2017,Toby,McLean,Western Bulldogs
2017,Dale,Morris,Western Bulldogs
2017,Liam,Picken,Western Bulldogs
2017,Fletcher,Roberts,Western Bulldogs
2017,Jordan,Roughead,Western Bulldogs
2017,Clay,Smith,Western Bulldogs
2017,Jake,Stringer,Western Bulldogs
2017,Easton,Wood,Western Bulldogs
2016,Grant,Birchall,Hawthorn
2016,Luke,Breust,Hawthorn
2016,Shaun,Burgoyne,Hawthorn
2016,Taylor,Duryea,Hawthorn
2016,James,Frawley,Hawthorn
2016,Josh,Gibson,Hawthorn
2016,Jack,Gunston,Hawthorn
2016,David,Hale,Hawthorn
2016,Bradley,Hill,Hawthorn
2016,Luke,Hodge,Hawthorn
2016,Brian,Lake,Hawthorn
2016,Jordan,Lewis,Hawthorn
2016,Ben,McEvoy,Hawthorn
2016,Sam,Mitchell,Hawthorn
2016,Paul,Puopolo,Hawthorn
2016,Cyril,Rioli,Hawthorn
2016,Jarryd,Roughead,Hawthorn
2016,Ryan,Schoenmakers,Hawthorn
2016,Liam,Shiels,Hawthorn
2016,Isaac,Smith,Hawthorn
2016,Ben,Stratton,Hawthorn
2016,Matt,Suckling,Hawthorn
2015,Grant,Birchall,Hawthorn
2015,Luke,Breust,Hawthorn
2015,Shaun,Burgoyne,Hawthorn
2015,Taylor,Duryea,Hawthorn
2015,Josh,Gibson,Hawthorn
2015,Jack,Gunston,Hawthorn
2015,David,Hale,Hawthorn
2015,Bradley,Hill,Hawthorn
2015,Luke,Hodge,Hawthorn
2015,Brian,Lake,Hawthorn
